CG10045	GstD1	FBgn0001149	Drosophila melanogaster
CG10060	Galphai	FBgn0001104	Drosophila melanogaster
CG10103	CG10103	FBgn0035715	Drosophila melanogaster
CG10120	Men	FBgn0002719	Drosophila melanogaster
CG10160	ImpL3	FBgn0001258	Drosophila melanogaster
CG10236	LanA	FBgn0002526	Drosophila melanogaster
CG10260	PI4KIIIalpha	FBgn0267350	Drosophila melanogaster
CG10305	RpS26	FBgn0261597	Drosophila melanogaster
CG10306	eIF3k	FBgn0034654	Drosophila melanogaster
CG10506	GlnRS	FBgn0027090	Drosophila melanogaster
CG10540	cpa	FBgn0034577	Drosophila melanogaster
CG10545	Gbeta13F	FBgn0001105	Drosophila melanogaster
CG10641	Swip-1	FBgn0032731	Drosophila melanogaster
CG10687	AsnRS	FBgn0086443	Drosophila melanogaster
CG10688	Pmm2	FBgn0036300	Drosophila melanogaster
CG10701	Moe	FBgn0011661	Drosophila melanogaster
CG10724	flr	FBgn0260049	Drosophila melanogaster
CG1081	Rheb	FBgn0041191	Drosophila melanogaster
CG1088	Vha26	FBgn0283535	Drosophila melanogaster
CG10938	Prosalpha5	FBgn0016697	Drosophila melanogaster
CG10944	RpS6	FBgn0261592	Drosophila melanogaster
CG10954	Arpc2	FBgn0032859	Drosophila melanogaster
CG10986	g	FBgn0001087	Drosophila melanogaster
CG10997	Clic	FBgn0030529	Drosophila melanogaster
CG11001	FK506-bp2	FBgn0013954	Drosophila melanogaster
CG11051	Nplp2	FBgn0040813	Drosophila melanogaster
CG1106	Gel	FBgn0010225	Drosophila melanogaster
CG11139	p47	FBgn0033179	Drosophila melanogaster
CG11143	Inos	FBgn0025885	Drosophila melanogaster
CG11271	RpS12	FBgn0260441	Drosophila melanogaster
CG11276	RpS4	FBgn0011284	Drosophila melanogaster
CG11471	IleRS	FBgn0027086	Drosophila melanogaster
CG11654	Ahcy	FBgn0014455	Drosophila melanogaster
CG11765	Prx2540-2	FBgn0033518	Drosophila melanogaster
CG11793	Sod1	FBgn0003462	Drosophila melanogaster
CG11880	Ctl2	FBgn0039637	Drosophila melanogaster
CG11888	Rpn2	FBgn0028692	Drosophila melanogaster
CG11901	eEF1gamma	FBgn0029176	Drosophila melanogaster
CG11949	cora	FBgn0010434	Drosophila melanogaster
CG11981	Prosbeta3	FBgn0026380	Drosophila melanogaster
CG12000	Prosbeta7	FBgn0250746	Drosophila melanogaster
CG12002	Pxn	FBgn0011828	Drosophila melanogaster
CG12013	PHGPx	FBgn0035438	Drosophila melanogaster
CG12030	Gale	FBgn0035147	Drosophila melanogaster
CG12051	Act42A	FBgn0000043	Drosophila melanogaster
CG12055	Gapdh1	FBgn0001091	Drosophila melanogaster
CG12065	CG12065	FBgn0030052	Drosophila melanogaster
CG12101	Hsp60A	FBgn0015245	Drosophila melanogaster
CG12108	Ppt1	FBgn0030057	Drosophila melanogaster
CG12159	CG12159	FBgn0033232	Drosophila melanogaster
CG12163	CG12163	FBgn0260462	Drosophila melanogaster
CG12210	Syb	FBgn0003660	Drosophila melanogaster
CG12306	polo	FBgn0003124	Drosophila melanogaster
CG1242	Hsp83	FBgn0001233	Drosophila melanogaster
CG12530	Cdc42	FBgn0010341	Drosophila melanogaster
CG1258	pav	FBgn0011692	Drosophila melanogaster
