Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) FRT_U1,Coverage (%) FRT_U2,Coverage (%) FRT_PM2,Coverage (%) FRT_PM1,Coverage (%) Fluid_U2,Coverage (%) Fluid_U1,Coverage (%) Fluid_PM1,Coverage (%) Fluid_PM2,Area FRT_U1,Area FRT_U2,Area FRT_PM2,Area FRT_PM1,Area Fluid_U2,Area Fluid_U1,Area Fluid_PM1,Area Fluid_PM2,Peptides,Unique,Spec FRT_U1,Spec FRT_U2,Spec FRT_PM2,Spec FRT_PM1,Spec Fluid_U2,Spec Fluid_U1,Spec Fluid_PM1,Spec Fluid_PM2,PTM,Avg. Mass,Description
6,82,FBgn0005666,571.86,68,49,58,59,63,58,50,38,28,2.4256E9,4.8362E9,4.323E9,5.2905E9,1.4831E9,4.9943E8,1.3147E8,5.9368E7,533,533,1569,1970,1975,2029,1084,570,371,243,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1000102,FBpp0290554
3,64,FBgn0283427,522.53,75,67,70,68,68,73,70,67,66,6.3982E9,9.1237E9,7.0749E9,5.8725E9,1.5565E10,6.0249E9,2.0281E9,1.4873E9,261,254,2070,2011,1742,1547,2628,1475,1286,933,Carbamidomethylation; Oxidation (M); Deamidation (NQ),277997,FBpp0307371
2,72,FBgn0264695,514.26,73,71,70,70,68,56,50,51,44,4.1185E10,6.0583E10,5.416E10,5.6126E10,1.2544E9,3.7425E8,1.3619E8,6.5889E7,269,268,3665,3527,3406,3385,491,222,210,157,Carbamidomethylation; Oxidation (M); Deamidation (NQ),224267,FBpp0298828
14,172,FBgn0284408,477.51,46,37,43,44,44,10,8,5,4,3.2417E9,5.0094E9,4.8834E9,4.5596E9,2.3129E7,1.7616E7,1.5459E6,1.3253E6,175,174,1204,1366,1263,1139,54,43,23,15,Carbamidomethylation; Oxidation (M); Deamidation (NQ),496948,FBpp0309655
47,129,FBgn0013733,475.58,47,26,36,37,39,11,10,3,1,2.607E8,4.9243E8,5.5184E8,5.8447E8,1.7141E7,1.1708E7,8.3162E5,2.3453E5,335,333,358,504,560,516,91,71,19,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),989566,FBpp0086747
16,122,FBgn0033246,466.66,68,52,58,60,59,65,60,60,57,8.7508E8,1.4401E9,1.2599E9,9.6365E8,1.4884E9,5.3518E8,2.1579E8,1.5449E8,144,144,618,691,654,554,762,432,391,310,Carbamidomethylation; Oxidation (M); Deamidation (NQ),278594,FBpp0087947
31,43,FBgn0250789,466.28,74,63,71,72,70,46,43,30,25,1.1207E9,1.9253E9,2.0444E9,2.0732E9,1.0789E8,6.4498E7,1.1308E7,5.8625E6,173,173,702,753,832,787,156,104,65,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),282565,FBpp0305100
4,8,FBgn0000044,454.48,94,89,89,91,91,69,69,61,69,5.1508E9,5.9775E9,5.2841E9,5.0368E9,1.0344E8,8.8667E7,3.2086E7,2.8088E7,152,11,2386,2772,2493,2480,420,294,204,160,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41835,FBpp0071448
43,92,FBgn0052311,451.60,60,44,50,52,56,22,20,5,4,6.3709E8,1.2473E9,1.1892E9,1.283E9,7.9757E7,4.6924E7,1.7402E6,7.6109E5,189,189,465,558,560,566,129,99,14,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),412845,FBpp0304429
5,9,FBgn0000046,449.17,93,89,88,90,90,69,69,61,69,0,2.1091E5,1.3388E6,1.2435E6,,,,,145,3,2293,2660,2373,2375,410,287,203,158,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41802,FBpp0082253
