Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Sample Profile (Ratio),Tissue_U Area,Tissue_PM Area,Tissue_U Area (top-3 peptides),Tissue_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
612,1299,FBgn0262536,31.58,53,9,9,Carbamidomethylation; Deamidation (NQ),5.3873E8,6.1637E8,6.6071E7,7.0424E7,3.3874E8,4.191E8,4.218E7,4.7991E7,0.81:1.00:0.10:0.11,5.7755E8,6.8248E7,3.7892E8,4.5086E7,1.00:0.12,19795,FBpp0293416
726,1041,FBgn0011832,31.09,11,3,3,Carbamidomethylation,1.3793E7,2.7919E7,1.3897E6,3.6435E6,1.3793E7,2.7919E7,1.3897E6,3.6435E6,0.49:1.00:0.05:0.13,2.0856E7,2.5166E6,2.0856E7,2.5166E6,1.00:0.12,26420,FBpp0077483
174,900,FBgn0031406,28.09,18,3,3,Carbamidomethylation; Oxidation (M); Deamidation (NQ),7.212E7,1.5343E8,4.8046E6,6.0306E5,7.212E7,1.5343E8,4.8046E6,6.0306E5,0.47:1.00:0.03:0.02,1.1277E8,2.7038E6,1.1277E8,2.7038E6,1.00:0.02,27446,FBpp0077481
102,114,FBgn0012034,28.00,52,29,29,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.109E9,2.816E8,2.4108E8,2.1485E8,9.5635E8,7.0864E7,6.2061E7,4.7125E7,13.50:1.00:0.88:0.67,6.9529E8,2.2797E8,5.1361E8,5.4593E7,1.00:0.11,75946,FBpp0078067
495,696,FBgn0264492,22.40,4,1,1,,1.1324E5,1.4652E5,2.5544E6,1.0683E6,1.1324E5,1.4652E5,2.5544E6,1.0683E6,0.77:1.00:17.43:7.29,1.2988E5,1.8113E6,1.2988E5,1.8113E6,1.00:13.95,39960,FBpp0311359
1176,1033,FBgn0032689,20.95,2,1,1,,5.6123E4,2.7329E4,4.7363E5,5.6052E5,5.6123E4,2.7329E4,4.7363E5,5.6052E5,2.05:1.00:17.33:20.51,4.1726E4,5.1708E5,4.1726E4,5.1708E5,1.00:12.39,104247,FBpp0080630
215,615,FBgn0261989,20.56,35,7,7,Carbamidomethylation; Oxidation (M),8.2531E7,2.2952E8,1.3951E7,2.2949E7,4.9798E7,1.7435E8,1.1899E7,1.7851E7,0.29:1.00:0.07:0.10,1.5603E8,1.845E7,1.1208E8,1.4875E7,1.00:0.13,31007,FBpp0292826
257,229,FBgn0036208,14.35,21,7,7,Carbamidomethylation; Oxidation (M),8.8589E5,7.2152E6,1.5479E7,1.643E7,3.7728E5,6.5361E6,1.484E7,1.5363E7,0.06:1.00:2.27:2.35,4.0505E6,1.5955E7,3.4567E6,1.5102E7,1.00:4.37,45541,FBpp0075815
178,1,FBgn0035917,13.58,52,19,19,Oxidation (M); Deamidation (NQ),1.1607E9,2.3612E8,3.7251E8,3.7351E8,8.9075E8,7.961E7,1.0805E8,1.2348E8,11.19:1.00:1.36:1.55,6.9839E8,3.7301E8,4.8518E8,1.1576E8,1.00:0.24,47597,FBpp0088529
531,522,FBgn0029688,12.80,2,6,6,,2.0724E6,3.7448E6,1.0475E7,9.2661E6,1.0897E6,2.6302E6,8.4827E6,7.5652E6,0.41:1.00:3.23:2.88,2.9086E6,9.8707E6,1.8599E6,8.0239E6,1.00:4.31,315898,FBpp0070596
