Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Fluid_U Area,Fluid_PM Area,Fluid_U Area (top-3 peptides),Fluid_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
9,92,FBgn0052311,200.00,6,18,18,Carbamidomethylation,3.687E7,6.7801E7,1.3798E7,1.192E7,1.3367E7,2.3719E7,4.9224E6,2.6507E6,1.00:1.77:0.37:0.20,5.3479E7,1.4456E7,1.8543E7,4.599E6,1.00:0.25,412845,FBpp0304429
36,26,FBgn0012036,200.00,34,12,12,Oxidation (M),1.5443E7,7.8476E6,4.3277E7,6.1316E7,6.9389E6,7.4038E6,2.1833E7,3.34E7,1.00:1.07:3.15:4.81,1.9037E7,5.233E7,1.1718E7,2.7617E7,1.00:2.36,57019,FBpp0079406
56,57,FBgn0040064,200.00,43,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.4565E7,3.9833E6,5.6152E7,3.0002E7,6.9075E6,2.0392E6,2.2813E7,1.0781E7,1.00:0.30:3.30:1.56,1.0439E7,4.3217E7,4.4733E6,1.6797E7,1.00:3.75,41610,FBpp0079472
62,253,FBgn0001092,200.00,43,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.2687E8,4.2844E7,1.0875E9,5.8656E8,3.8356E8,3.5643E7,8.3028E8,5.0369E8,1.00:0.09:2.16:1.31,2.9329E8,8.3799E8,2.1078E8,6.6711E8,1.00:3.16,35369,FBpp0073922
92,246,FBgn0262559,200.00,43,11,11,Carbamidomethylation; Oxidation (M),1.4736E7,1.2946E7,5.8046E7,1.6683E7,4.7687E6,6.5187E6,3.6236E7,4.1394E6,1.00:1.37:7.60:0.87,1.4163E7,3.7424E7,5.7973E6,2.0187E7,1.00:3.48,35318,FBpp0082985
106,89,FBgn0001125,200.00,34,11,11,Carbamidomethylation; Oxidation (M),1.1481E7,2.4452E6,4.5899E7,2.2487E7,5.814E6,1.6908E6,2.2345E7,1.4223E7,1.00:0.29:3.84:2.45,8.5548E6,3.4193E7,3.7524E6,1.8284E7,1.00:4.87,48172,FBpp0077537
121,79,FBgn0020653,200.00,44,18,18,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.8E7,1.1354E6,5.9005E7,7.6492E7,1.0468E7,1.7175E5,2.9077E7,3.5907E7,1.00:0.02:2.78:3.43,2.398E7,6.7748E7,1.0525E7,3.2492E7,1.00:3.09,64323,FBpp0071116
126,533,FBgn0010516,200.00,16,4,4,,2.9096E6,0,6.7279E6,3.3262E6,2.6429E6,0,5.6618E6,2.9024E6,1.00:0:2.14:1.10,2.9096E6,5.027E6,2.6429E6,4.2821E6,1.00:1.62,34181,FBpp0087186
129,202,FBgn0037643,200.00,11,5,5,Oxidation (M),2.5944E6,7.3324E5,1.2402E7,6.814E6,2.2172E6,7.3324E5,9.6865E6,5.567E6,1.00:0.33:4.37:2.51,2.6237E6,9.6078E6,2.2466E6,7.6268E6,1.00:3.39,54911,FBpp0291000
134,38,FBgn0039737,200.00,36,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7032E7,9.0116E6,4.4041E7,4.4521E7,7.7478E6,7.2393E6,2.8821E7,2.3305E7,1.00:0.93:3.72:3.01,1.4918E7,4.4597E7,7.4936E6,2.6136E7,1.00:3.49,51855,FBpp0084968
