Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Tissue Area,Fluid Area,Tissue Area (top-3 peptides),Fluid Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
7,43,FBgn0250789,200.00,3,8,8,Oxidation (M),4.4531E7,4.0673E7,6.0778E7,5.611E7,2.1742E6,1.1118E6,8.3807E5,5.4188E4,2.3866E7,2.184E7,3.095E7,2.8456E7,1.3795E6,2.8551E5,7.7644E5,0,0.77:0.71:1.00:0.92:0.04:0.02:0.03:0,5.0523E7,1.6389E6,2.6278E7,1.0355E6,1.00:0.04,282565,FBpp0305100
15,85,FBgn0250788,200.00,1,2,2,,1.1199E7,9.3733E6,1.3198E7,1.0858E7,3.148E5,3.3841E5,4.0205E5,2.927E6,1.1199E7,9.3733E6,1.3198E7,1.0858E7,3.148E5,3.3841E5,4.0205E5,2.927E6,0.85:0.71:1.00:0.82:0.02:0.03:0.03:0.22,1.1157E7,1.3857E6,1.1157E7,1.3857E6,1.00:0.12,267625,FBpp0306507
18,116,FBgn0003149,200.00,60,51,51,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.6743E9,4.3533E9,4.4293E9,5.1426E9,3.6531E8,1.7976E8,1.5729E8,2.8039E8,4.8177E8,5.4902E8,5.5763E8,6.2317E8,4.7849E7,1.967E7,4.5729E6,3.5111E7,0.86:0.98:1.00:1.12:0.09:0.04:0.02:0.06,4.402E9,2.4929E8,5.529E8,2.6801E7,1.00:0.05,102338,FBpp0076321
21,39,FBgn0014141,200.00,29,55,55,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.2247E8,2.7135E8,3.2618E8,3.3345E8,1.3033E9,7.3246E8,4.8668E8,8.6348E8,3.6015E7,4.8452E7,6.0761E7,6.0835E7,2.5451E8,1.5541E8,1.1253E8,2.1034E8,0.59:0.80:1.00:1.00:4.19:2.56:1.85:3.46,2.9289E8,8.5495E8,5.1516E7,1.833E8,1.00:3.56,278816,FBpp0428261
26,61,FBgn0027580,200.00,51,47,47,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.0631E9,1.0098E9,1.1497E9,1.0622E9,1.1995E8,8.2299E7,8.9205E7,6.076E7,1.8813E8,1.903E8,2.1652E8,1.9406E8,2.2396E7,9.3753E6,1.4401E7,8.9213E6,0.87:0.88:1.00:0.90:0.10:0.04:0.07:0.04,1.0712E9,1.0249E8,1.9725E8,1.3959E7,1.00:0.07,132674,FBpp0087539
30,86,FBgn0010217,200.00,17,7,7,Oxidation (M),3.201E8,3.5655E8,3.4014E8,3.3127E8,5.3376E7,8.6346E7,3.0323E7,9.8625E6,3.0959E8,3.3339E8,3.2439E8,3.1148E8,5.2946E7,5.2825E7,2.7094E7,9.823E6,0.95:1.03:1.00:0.96:0.16:0.16:0.08:0.03,3.3702E8,5.5135E7,3.1971E8,4.0039E7,1.00:0.13,54683,FBpp0305828
33,28,FBgn0000667,200.00,69,54,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7239E9,1.9785E9,2.3814E9,2.4905E9,8.1777E8,6.3966E8,2.2817E8,3.8179E8,2.222E8,3.2989E8,4.0081E8,4.4418E8,1.3319E8,1.2024E8,4.1005E7,6.6069E7,0.55:0.82:1.00:1.11:0.33:0.30:0.10:0.16,2.1677E9,5.2491E8,3.4927E8,9.0538E7,1.00:0.26,106373,FBpp0070331
34,100,FBgn0027560,200.00,63,50,50,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.4462E9,2.5928E9,2.2635E9,1.8656E9,6.5997E9,6.3581E9,3.7668E9,6.0251E9,4.3436E8,4.4379E8,3.6547E8,2.866E8,1.2284E9,1.313E9,8.64E8,1.6856E9,1.19:1.21:1.00:0.78:3.36:3.59:2.36:4.61,2.3048E9,5.7205E9,3.8358E8,1.2732E9,1.00:3.32,91135,FBpp0077121
36,36,FBgn0037607,200.00,75,40,40,Carbamidomethylation; Oxidation (M); Deamidation (NQ),9.6988E8,1.3737E9,1.0803E9,9.4331E8,4.5598E9,2.6666E9,3.3309E9,1.9699E9,1.4584E8,2.4429E8,2.1231E8,1.9913E8,9.3044E8,4.9776E8,1.114E9,4.556E8,0.69:1.15:1.00:0.94:4.38:2.34:5.25:2.15,1.1004E9,3.1536E9,2.0174E8,7.4963E8,1.00:3.72,68032,FBpp0081370
46,95,FBgn0250814,200.00,9,3,3,,4.5957E6,2.0832E8,1.9592E8,2.0184E8,2.1892E5,1.713E6,2.4611E5,1.5449E5,4.5957E6,2.0832E8,1.9592E8,2.0184E8,2.1892E5,1.713E6,2.4611E5,1.5449E5,0.02:1.06:1.00:1.03:0.02:0.02:0.02:0.02,1.5267E8,7.1152E5,1.5267E8,7.1152E5,1.00:0.02,45415,FBpp0075069
51,168,FBgn0000116,200.00,46,37,37,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.1731E9,2.2552E9,1.8703E9,2.2673E9,5.1233E9,1.3782E10,1.2028E10,6.8061E9,9.2195E8,8.609E8,5.9958E8,8.8414E8,2.2374E9,5.8947E9,5.1307E9,3.1532E9,1.54:1.44:1.00:1.47:3.73:9.83:8.56:5.26,2.333E9,9.8296E9,8.9536E8,4.1157E9,1.00:4.60,61264,FBpp0076270
61,170,FBgn0263006,200.00,9,8,8,,5.0016E7,6.3106E7,7.2734E7,7.3595E7,3.7133E6,8.8647E6,8.8325E5,9.4525E5,2.3913E7,3.3044E7,3.7108E7,3.4521E7,1.0302E6,4.5434E6,7.9519E5,2.1872E5,0.64:0.89:1.00:0.93:0.03:0.12:0.02:0.02,6.4863E7,4.8996E6,3.2146E7,2.3194E6,1.00:0.07,111701,FBpp0072121
63,245,FBgn0004363,200.00,14,4,4,,7.7177E8,5.776E8,5.2889E8,4.8045E8,1.1435E6,1.484E6,2.9063E5,2.9457E5,7.0608E8,4.9906E8,4.8493E8,3.9598E8,1.0352E6,1.3292E6,2.9063E5,2.9457E5,1.46:1.03:1.00:0.82:0.02:0.02:0.02:0.02,5.8968E8,1.1074E6,5.2151E8,9.7585E5,1.00:0.02,30550,FBpp0079771
